pmid,title,authors,journal,date,abstract,references,citedin,five
31995273,Application of bibliometrics in medicine: a historical bibliometrics analysis.,"Kokol, Peter P|Blažun Vošner, Helena H|Završnik, Jernej J",Health information and libraries journal,2021 Jun,The application of bibliometrics in medicine enables one to analyse vast amounts of publications and their production patterns on macroscopic and microscopic levels.,,34306062|34169036|34150972|34012030|33240559|33152194,31204025|32404730|25940769|23979085|31746684|27795596|30951931|33012010
34169036,Iranian researchers' contributions to research on COVID-19: A bibliometric analysis and visualization.,"Saberi, Mohammad Karim MK|Farhadi, Arezoo A|Karami, Samira S|Mokhtari, Heidar H",Medical journal of the Islamic Republic of Iran,2021,"Background: COVID-19 pandemic crisis motivated researchers worldwide to deeply investigate it from different perspectives. As Iran is one of the highly-affected countries by Covid-19, Iranian researchers have focused on studying it. This study aimed at analyzing and visualizing Iranian researchers' papers on COVID-19 from a bibliometric perspective. Methods: By searching MeSH-selected keywords related to COVID-19 in Scopus, Iranian researchers' papers on COVID-19 were extracted in a CSV format and underwent bibliometric techniques, such as coauthorship analysis, citation, and co-citation analysis, keyword and term co-occurrence mapping and etc. in the Microsoft Excel and VOSviewer software package. Results: A total of 405 papers were authored by Iranian researchers on COVID-19 during the study period, with the average number of citations per paper of 2.60 and a mean h-index of 15. The majority of papers were original articles in English. Archives of Clinical Infectious Diseases and Archives of Iranian Medicine and Medical Hypotheses were highly ranked publishing journals, respectively. The most productive institute and author were Tehran University of Medical Sciences with 119 papers and Rezaei, N. with 12 papers. Iranian researchers collaborated with the researchers of 73 countries, with the USA ranking first in Covid-19 research, followed by Italy, Canada, and United Kingdom. In publishing papers on COVID-19, Iran ranked first among the Middle Eastern countries and thirteenth internationally. Conclusion: Iranian researchers were active in 5 main areas of COVID-19 research, including epidemiology, diagnosis, treatment, virology, and systematic review.",32657602|32836526|32233719|32411751|32836524|32271460|31995273|32834606|32382213|32405191|32495576|32466477|32803225|32086938|20585380|30377667|32547890|32934940|33411846|31710021|32354181|32981988|31994742|32328369|32974230|32673837,,32837958|33687303|33370754|34596719|22039839|28465812
30951931,The top 100 cited articles on Obsessive Compulsive Disorder (OCD): A citation analysis.,"Parmar, Arpit A|Ganesh, Ragul R|Mishra, Ashwani Kumar AK",Asian journal of psychiatry,2019 Apr,"There is an exponential growth in the field of biomedical literature over the years. Although numerous articles are published every year, few of them present important conceptual advances in that particular field and are found to be influential in the evolution of the field. The number of citations a publication receives can be used as a proxy marker of its impact on the field. Hence we aimed to analyze the top cited articles (n = 100) on obsessive compulsive disorder (OCD) as of July 2018. Google scholar database was searched using a freely available software, Publish or Perish. Information related to number of citations, publication title, publication year, name of the journal, country of origin, author details, institution of origin, article type, and article design. The original research articles were further classified into descriptive/epidemiology, mechanism, management, scale/measurement, imaging and medical psychiatry. The citation classics suggest that clinical trials/management, epidemiology and neuroimaging were the most researched areas in the OCD research. These citation classics provide an important insight into the historical developments, like the role of serotonin and caudate in OCD. This approach of citation analysis provides an opportunity to retrieve the classic articles on OCD, and describes the trends in OCD research.",,34501790|31413901,21652082|23971438|22898633|29294394|27127230
33240559,What You Should Know About Osteoarthritis Rehabilitation: A Bibliometric Analysis of the 50 Most-Cited Articles.,"Wang, Shi-Qi SQ|Wang, Jian-Xiong JX|Zhang, Chi C|Sun, Fu-Hua FH|Xie, Yu-Jie YJ|Jiang, Wei W|Ou, Xia X|Miyamoto, Akira A|Wang, Li L",Geriatric orthopaedic surgery & rehabilitation,2020,Osteoarthritis is a degenerative disease that commonly occurs in middle-aged and elderly people. High-quality articles in the field of osteoarthritis rehabilitation have not been studied in detail.,31732554|16019214|30415584|30911813|10651597|24237942|23502075|15829571|28479858|18039565|28222551|27330013|30213694|31586471|26723285|31995273|31766944|2059102|30128914|29864015|23506518|17940141|28347680|29656026|31982919|26671908|17884971|30813156|9699158|14985952|15639633|14644851|30427954|31710021|7699639|31096525|31201386|31493613|31186182,,31009099|31087256|34146752|31501253|28825158
34306062,Global Research on Neuropathic Pain Rehabilitation over the Last 20 Years.,"Su, Xuan X|Hu, Hao-Yu HY|Xu, Chang C",Neural plasticity,2021,"Neuropathic pain has long been a very popular and productive field of clinical research. Neuropathic pain is difficult to cure radically because of its complicated etiology and uncertain pathogenesis. As pain worsens and persists, pain recovery techniques become more important, and medication alone is insufficient. No summary of bibliometric studies on neuropathic pain rehabilitation is yet available. The purpose of the present study is to analyze in a systematic manner the trends of neuropathic pain rehabilitation research over the period of 2000-2019.",33164995|32908554|31921481|22019149|29140923|29982543|23748119|29250715|33131390|32179730|23356203|33221486|26754161|30131092|25846615|20227832|24749662|31258512|29462012|26502765|26924998|20851519|33785667|29987763|24322437|34062145|31864679|28515269|25020004|26505059|27073451|29472384|29121305|31355689|24699431|31839239|34193442|24291734|31995273|27062464|33013280|18040045|28960653|27723760|19588414|31647151|33861684|32773598|24930805|31097329|32744132|31681155|30588000|31099264|33218293,,32612381|34447266|33688338|34867750|28479858|31772566
34150972,Tracing ovarian cancer research in Morocco: A bibliometric analysis.,"El Bairi, Khalid K|Al Jarroudi, Ouissam O|Afqir, Said S",Gynecologic oncology reports,2021 Aug,"The burden of ovarian cancer (OC) in low-income countries continues to increase annually. This gynecological cancer, known for its poor survival outcomes, has not attracted much interest in medical research as compared to other women's malignancies such as breast cancer. This bibliometric study was conducted to better depict the global map and the future directions of scientific productivity in the area of OC research in Morocco.",17934650|23781593|5634379|31118829|32159809|23072738|22425665|29900852|31463051|28086974|26181541|31995273|26719322|17492473|29712689|29900851|24554280|28083218|26594073|28443762|27981507|27896281|25095854|24037741|30319305|25940769|28577564|25814778|26512227|30410737|30430484|31417200|24919911|23777285|28257597|22866093|27446417|23697973|23289006|24049044|27743768,34541276,28086974|27663999|30844530|25830358|30746676
31710021,"Comparing Bibliometric Analysis Using PubMed, Scopus, and Web of Science Databases.","AlRyalat, Saif Aldeen S SAS|Malkawi, Lna W LW|Momani, Shaher M SM",Journal of visualized experiments : JoVE,2019 10 24,"Literature databases (i.e., PubMed, Scopus, and Web of Science) differ in terms of their coverage, focus, and the tool they provide. PubMed focuses mainly on life sciences and biomedical disciplines, whereas Scopus and Web of Science are multidisciplinary. The protocol described in the current study was used to search for publications from Jordanian authors in the years 2013-2017. In this protocol, how to use each database to conduct this type of search is explained in detail. A Scopus search resulted in the highest number of documents (11,444 documents), followed by a Web of Science search (10,943 documents). PubMed resulted in a smaller number of documents due to its narrower scope and coverage (4,363 documents). The results also show a yearly trend in: (1) the number of publications, (2) the disciplines that have the most publications, (3) the countries of collaboration, and (4) the number of open access publications. In contrast, PubMed has a sophisticated keyword optimization service (i.e., Medical Subject Heading, or MeSH), while both Scopus and Web of Science provide search analysis tools that can produce representative figures. Finally, the features of each database are explained in detail and several indices that can be extracted using the search results are provided. This study provides a base for using literature databases for bibliometric analysis.",,34795578|34745841|34703780|34668133|34621520|34596719|34457938|34408344|34355311|34227034|34169036|34084123|33585791|33240559|32751345|32727479|32650802|32179730,29339937|17884971|28377037|25927511|27076801
28086974,Ovarian cancer: density equalizing mapping of the global research architecture.,"Brüggmann, Dörthe D|Pulch, Katharina K|Klingelhöfer, Doris D|Pearce, Celeste Leigh CL|Groneberg, David A DA",International journal of health geographics,2017 01 13,"Despite its impact on female health worldwide, no efforts have been made to depict the global architecture of ovarian cancer research and to understand the trends in the related literature. Hence, it was the objective of this study to assess the global scientific performance chronologically, geographically and in regards to economic benchmarks using bibliometric tools and density equalizing map projections.",20413749|19253120|4104488|2470152|17884971|19648952|24079616|24313817|26406894|20942669|24438527|18724868|24879489|24702861|19555514|23075965|16275915|24528025|16434898|23220508|21683865|23896711|20069115|15136719|16835844|5634379|25272079|20582305|8524414|26032100|24662135|25818671|1675389|15761078|19171075|18554379|23583217|20202187|89281|25409503|21999813|24245856|7545954|2569287|17407063|27044432|8091231|23734726|21176219|24205854|24399786|25272080|22361336|12677558|24753957|26500688,34556165|34150972|33392018|33046107|32807139|32610747|32214551|31834918|31235897|30356275|30128213|29387147|29306332|29025848,27044432|26611203|33046107|27678043|28372893
28479858,Study of acupuncture for low back pain in recent 20 years: a bibliometric analysis via CiteSpace.,"Liang, Yu-Dan YD|Li, Ying Y|Zhao, Jian J|Wang, Xiao-Yin XY|Zhu, Hui-Zheng HZ|Chen, Xiu-Hua XH",Journal of pain research,2017,"Acupuncture has been applied to relieve low back pain (LBP) in many countries. However, a bibliometric analysis of the global use of acupuncture for LBP is rare.",27745712|18270354|20609604|23639822|11322842|24103416|22965186|16420542|28192789|27568831|11458142|11431299|27594189|27445772|16980315|25710765|16970534|24316509|18390493|26860795|20800613|21106108|19433697|14699281|15850733|23336503|16095547|17909209|21235040|16980316|27136034|26050136|24026151|24280949|18307808|11822612|16505266|22070438|17257756|15130570|10073623|16798792|16095934|27689427|22231424|22203884|17893311|15838072,34779356|34675647|34574368|34568235|34552477|34493881|34456737|34447266|34368063|34300017|34220574|34200236|34177744|34150654|34136548|34130770|34079357|33941172|33936970|33897259|33722169|33680225|33663568|33649305|33542652|33488420|33488117|33240559|33143477|33103563|32984256|32982334|32923422|32654583|32612381|32456654|32318533|32280270|32266495|32215136|32174808|32104058|32089962|32033545|32000426|31842669|31781650|31762442|31037528|31032193|30857143|30278590|30245817|30183876|30142818|29263767,32801848|33551731|32215136|33832287|34721179|33859495
25940769,A descriptive and historical review of bibliometrics with applications to medical sciences.,"Thompson, Dennis F DF|Walker, Cheri K CK",Pharmacotherapy,2015 Jun,"The discipline of bibliometrics involves the application of mathematical and statistical methods to scholarly publications. The first attempts at systematic data collection were provided by Alfred Lotka and Samuel Bradford, who subsequently established the foundational laws of bibliometrics. Eugene Garfield ushered in the modern era of bibliometrics with the routine use of citation analysis and systematized processing. Key elements of bibliometric analysis include database coverage, consistency and accuracy of the data, data fields, search options, and analysis and use of metrics. A number of bibliometric applications are currently being used in medical science and health care. Bibliometric parameters and indexes may be increasingly used by grant funding sources as measures of research success. Universities may build benchmarking standards from bibliometric data to determine academic achievement through promotion and tenure guidelines in the future. This article reviews the history, definition, laws, and elements of bibliometric principles and provides examples of bibliometric applications to the broader health care community. To accomplish this, the Medline (1966-2014) and Web of Science (1945-2014) databases were searched to identify relevant articles; select articles were also cross-referenced. Articles selected were those that provided background, history, descriptive analysis, and application of bibliometric principles and metrics to medical science and health care. No attempt was made to cover all areas exhaustively; rather, key articles were chosen that illustrate bibliometric concepts and enhance the reader's knowledge. It is important that faculty and researchers understand the limitations and appropriate uses of bibliometric data. Bibliometrics has considerable potential as a research area for health care scientists and practitioners that can be used to discover new information about academic trends, pharmacotherapy, disease, and broader health sciences trends.",,34873371|34660616|34615625|34541276|34306245|34239441|34150972|34109284|34046238|33995056|33897259|33802834|33737903|33717952|33489662|33488420|33329962|33166272|32754061|32357468|32174808|32016121|31811603|31762442|31660258|31210726|30962635|30759753|30386407|30092158|29925353|29901549|29642147|28603233|28320410|28153037|28096979|27843745|27724920|27579264,24592695|23840840|20061001|31204025|25927511|23979085
