pmid,title,authors,journal,date,abstract,references,citedin,five
27413606,Radiometric Measurement Comparison on the Integrating Sphere Source Used to Calibrate the Moderate Resolution Imaging Spectroradiometer (MODIS) and the Landsat 7 Enhanced Thematic Mapper Plus (ETM+).,"Butler, James J JJ|Brown, Steven W SW|Saunders, Robert D RD|Johnson, B Carol BC|Biggar, Stuart F SF|Zalewski, Edward F EF|Markham, Brian L BL|Gracey, Paul N PN|Young, James B JB|Barnes, Robert A RA",Journal of research of the National Institute of Standards and Technology,2003 May-Jun,"As part of a continuing effort to validate the radiometric scales assigned to integrating sphere sources used in the calibration of Earth Observing System (EOS) instruments, a radiometric measurement comparison was held in May 1998 at Raytheon/Santa Barbara Remote Sensing (SBRS). This comparison was conducted in support of the calibration of the Moderate Resolution Imaging Spectroradiometer (MODIS) and the Landsat 7 Enhanced Thematic Mapper Plus (ETM+) instruments. The radiometric scale assigned to the Spherical Integrating Source (SIS100) by SBRS was validated through a comparison with radiometric measurements made by a number of stable, well-characterized transfer radiometers from the National Institute of Standards and Technology (NIST), the National Aeronautics and Space Administration's Goddard Space Flight Center (NASA's GSFC), and the University of Arizona Optical Sciences Center (UA). The measured radiances from the radiometers differed by ±3 % in the visible to near infrared when compared to the SBRS calibration of the sphere, and the overall agreement was within the combined uncertainties of the individual measurements. In general, the transfer radiometers gave higher values than the SBRS calibration in the near infrared and lower values in the blue. The measurements of the radiometers differed by ±4 % from 800 nm to 1800 nm compared to the SBRS calibration of the sphere, and the overall agreement was within the combined uncertainties of the individual measurements for wavelengths less than 2200 nm. The results of the radiometric measurement comparison presented here supplement the results of previous measurement comparisons on the integrating sphere sources used to calibrate the Multi-angle Imaging SpectroRadiometer (MISR) at NASA's Jet Propulsion Laboratory (JPL), Pasadena, CA and the Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) at NEC Corporation, Yokohama, Japan.",18354566|27805113,26836861,27805113|16252654|28777329|29599570|18354566
18354566,Short-wave infrared transfer radiometer for the calibration of the moderate-resolution imaging spectrometer and the advanced spaceborne thermal emission and reflection radiometer.,"Spyak, P R PR|Smith, D S DS|Thiry, J J|Burkhart, C C",Applied optics,2000 Nov 01,"A short-wave infrared (700-2500-nm) radiometer has been designed and built to calibrate and cross calibrate spherical-integrating sources used in the calibration of satellite sensors residing on NASA's Earth Observing System platforms. We describe the design, predicted and measured performance, and calibration of the transfer radiometer.",,32601509|27966534|27413606,27413606|21069050|32661449|28777329|26233354
27805113,Radiometric Measurement Comparison Using the Ocean Color Temperature Scanner (OCTS) Visible and Near Infrared Integrating Sphere.,"Johnson, B Carol BC|Sakuma, F F|Butler, J J JJ|Biggar, S F SF|Cooper, J W JW|Ishida, J J|Suzuki, K K",Journal of research of the National Institute of Standards and Technology,1997 Nov-Dec,"As a part of the pre-flight calibration and validation activities for the Ocean Color and Temperature Scanner (OCTS) and the Sea-viewing Wide Field-of-view Sensor (SeaWiFS) ocean color satellite instruments, a radiometric measurement comparison was held in February 1995 at the NEC Corporation in Yokohama, Japan. Researchers from the National Institute of Standards and Technology (NIST), the National Aeronautics and Space Administration/Goddard Space Flight Center (NASA/GSFC), the University of Arizona Optical Sciences Center (UA), and the National Research Laboratory of Metrology (NRLM) in Tsukuba, Japan used their portable radiometers to measure the spectral radiance of the OCTS visible and near-infrared integrating sphere at four radiance levels. These four levels corresponded to the configuration of the OCTS integrating sphere when the calibration coefficients for five of the eight spectral channels, or bands, of the OCTS instrument were determined. The measurements of the four radiometers differed by -2.7 % to 3.9 % when compared to the NEC calibration of the sphere and the overall agreement was within the combined measurement uncertainties. A comparison of the measurements from the participating radiometers also resulted in agreement within the combined measurement uncertainties. These results are encouraging and demonstrate the utility of comparisons using laboratory calibration integrating sphere sources. Other comparisons will focus on instruments that are scheduled for spacecraft in the NASA study of climate change, the Earth Observing System (EOS).",,27413606,27413606|16252654|29151725|17694112|22945151
16252654,Radiometric validation of NASA's Ames Research Center's Sensor Calibration Laboratory.,"Brown, Steven W SW|Johnson, B Carol BC|Biggar, Stuart F SF|Zalewski, Edward F EF|Cooper, John J|Hajek, Pavel P|Hildum, Edward E|Grant, Patrick P|Barnes, Robert A RA|Butler, James J JJ",Applied optics,2005 Oct 20,"The National Aeronautics and Space Administration's (NASA's) Ames Research Center's Airborne Sensor Facility (ASF) is responsible for the calibration of several airborne Earth-viewing sensor systems in support of NASA Earth Observing System (EOS) investigations. The primary artifact used to calibrate these sensors in the reflective solar region from 400 to 2500 nm is a lamp-illuminated integrating sphere source. In September 1999, a measurement comparison was made at the Ames ASF Sensor Calibration Facility to validate the radiometric scale, establish the uncertainties assigned to the radiance of this source, and examine its day-to-day repeatability. The comparison was one of a series of validation activities overseen by the EOS Calibration Program to ensure the radiometric calibration accuracy of sensors used in long-term, global, remote-sensing studies. Results of the comparison, including an evaluation of the Ames Sensor Calibration Laboratory (SCL) measurement procedures and assigned radiometric uncertainties, provide a validation of their radiometric scale at the time of the comparison. Additionally, the maintenance of the radiance scale was evaluated by use of independent, long-term, multiyear radiance validation measurements of the Ames sphere source. This series of measurements provided an independent assessment of the radiance values assigned to integrating sphere sources by the Ames SCF. Together, the measurements validate the SCF radiometric scale and assigned uncertainties over the time period from September 1999 through July 2003.",,26989588,27413606|27805113|25881452|29151725|26900523
29599570,Landsat-7 ETM+ Radiometric Calibration Status.,"Barsi, Julia A JA|Markham, Brian L BL|Czapla-Myers, Jeffrey S JS|Helder, Dennis L DL|Hook, Simon J SJ|Schott, John R JR|Haque, Obaidul O",Proceedings of SPIE--the International Society for Optical Engineering,2016,"Now in its 17th year of operation, the Enhanced Thematic Mapper + (ETM+), on board the Landsat-7 satellite, continues to systematically acquire imagery of the Earth to add to the 40+ year archive of Landsat data. Characterization of the ETM+ on-orbit radiometric performance has been on-going since its launch in 1999. The radiometric calibration of the reflective bands is still monitored using on-board calibration devices, though the Pseudo-Invariant Calibration Sites (PICS) method has proven to be an effect tool as well. The calibration gains were updated in April 2013 based primarily on PICS results, which corrected for a change of as much as -0.2%/year degradation in the worst case bands. A new comparison with the SADE database of PICS results indicates no additional degradation in the updated calibration. PICS data are still being tracked though the recent trends are not well understood. The thermal band calibration was updated last in October 2013 based on a continued calibration effort by NASA/Jet Propulsion Lab and Rochester Institute of Technology. The update accounted for a 0.31 W/m2 sr Î¼m bias error. The updated lifetime trend is now stable to within +/- 0.4K.",,,27413606|29449747|30053358|32020954|32365984
26836861,Comparison of two methodologies for calibrating satellite instruments in the visible and near-infrared.,"Barnes, Robert A RA|Brown, Steven W SW|Lykke, Keith R KR|Guenther, Bruce B|Butler, James J JJ|Schwarting, Thomas T|Turpie, Kevin K|Moyer, David D|DeLuccia, Frank F|Moeller, Christopher C",Applied optics,2015 Dec 10,"Traditionally, satellite instruments that measure Earth-reflected solar radiation in the visible and near infrared wavelength regions have been calibrated for radiance responsivity in a two-step method. In the first step, the relative spectral response (RSR) of the instrument is determined using a nearly monochromatic light source such as a lamp-illuminated monochromator. These sources do not typically fill the field of view of the instrument nor act as calibrated sources of light. Consequently, they only provide a relative (not absolute) spectral response for the instrument. In the second step, the instrument views a calibrated source of broadband light, such as a lamp-illuminated integrating sphere. The RSR and the sphere's absolute spectral radiance are combined to determine the absolute spectral radiance responsivity (ASR) of the instrument. More recently, a full-aperture absolute calibration approach using widely tunable monochromatic lasers has been developed. Using these sources, the ASR of an instrument can be determined in a single step on a wavelength-by-wavelength basis. From these monochromatic ASRs, the responses of the instrument bands to broadband radiance sources can be calculated directly, eliminating the need for calibrated broadband light sources such as lamp-illuminated integrating spheres. In this work, the traditional broadband source-based calibration of the Suomi National Preparatory Project Visible Infrared Imaging Radiometer Suite sensor is compared with the laser-based calibration of the sensor. Finally, the impact of the new full-aperture laser-based calibration approach on the on-orbit performance of the sensor is considered.",17676117|15540442|18354559|27413606|17068565|26401440,32825075|32601509|30278699|27661568|26401440,20370157|26368755|17068565|29151725|24922428
29151725,Spectral Radiance of a Large-Area Integrating Sphere Source.,"Walker, James H JH|Thompson, Ambler A",Journal of research of the National Institute of Standards and Technology,1995 Jan-Feb,"The radiance and irradiance calibration of large field-of-view scanning and imaging radiometers for remote sensing and surveillance applications has resulted in the development of novel calibration techniques. One of these techniques is the employment of large-area integrating sphere sources as radiance or irradiance secondary standards. To assist the National Aeronautical and Space Administration's space based ozone measurement program, a commercially available large-area internally illuminated integrating sphere source's spectral radiance was characterized in the wavelength region from 230 nm to 400 nm at the National Institute of Standards and Technology. Spectral radiance determinations and spatial mappings of the source indicate that carefully designed large-area integrating sphere sources can be measured with a 1 % to 2 % expanded uncertainty (two standard deviation estimate) in the near ultraviolet with spatial nonuniformities of 0.6 % or smaller across a 20 cm diameter exit aperture. A method is proposed for the calculation of the final radiance uncertainties of the source which includes the field of view of the instrument being calibrated.",,,17068565|27805113|20370157|24922428|27413606
17068565,Facility for spectral irradiance and radiance responsivity calibrations using uniform sources.,"Brown, Steven W SW|Eppeldauer, George P GP|Lykke, Keith R KR",Applied optics,2006 Nov 10,"Detectors have historically been calibrated for spectral power responsivity at the National Institute of Standards and Technology by using a lamp-monochromator system to tune the wavelength of the excitation source. Silicon detectors can be calibrated in the visible spectral region with combined standard uncertainties at the 0.1% level. However, uncertainties increase dramatically when measuring an instrument's spectral irradiance or radiance responsivity. We describe what we believe to be a new laser-based facility for spectral irradiance and radiance responsivity calibrations using uniform sources (SIRCUS) that was developed to calibrate instruments directly in irradiance or radiance mode with uncertainties approaching or exceeding those available for spectral power responsivity calibrations. In SIRCUS, the emission from high-power, tunable lasers is introduced into an integrating sphere using optical fibers, producing uniform, quasi-Lambertian, high-radiant-flux sources. Reference standard irradiance detectors, calibrated directly against national primary standards for spectral power responsivity and aperture area measurement, are used to determine the irradiance at a reference plane. Knowing the measurement geometry, the source radiance can be readily determined as well. The radiometric properties of the SIRCUS source coupled with state-of-the-art transfer standard radiometers whose responses are directly traceable to primary national radiometric scales result in typical combined standard uncertainties in irradiance and radiance responsivity calibrations of less than 0.1%. The details of the facility and its effect on primary national radiometric scales are discussed.",,33690511|32825075|32752793|32601509|30278699|27661568|27366615|27110460|27110453|26989597|26989588|26989581|26900523|26836861,30278699|17579678|25881452|12371545|24922428
28777329,Cross-Calibration between ASTER and MODIS Visible to Near-Infrared Bands for Improvement of ASTER Radiometric Calibration.,"Obata, Kenta K|Tsuchida, Satoshi S|Yamamoto, Hirokazu H|Thome, Kurtis K","Sensors (Basel, Switzerland)",2017 Aug 04,"Radiometric cross-calibration between the Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) and the Terra-Moderate Resolution Imaging Spectroradiometer (MODIS) has been partially used to derive the ASTER radiometric calibration coefficient (RCC) curve as a function of date on visible to near-infrared bands. However, cross-calibration is not sufficiently accurate, since the effects of the differences in the sensor's spectral and spatial responses are not fully mitigated. The present study attempts to evaluate radiometric consistency across two sensors using an improved cross-calibration algorithm to address the spectral and spatial effects and derive cross-calibration-based RCCs, which increases the ASTER calibration accuracy. Overall, radiances measured with ASTER bands 1 and 2 are on averages 3.9% and 3.6% greater than the ones measured on the same scene with their MODIS counterparts and ASTER band 3N (nadir) is 0.6% smaller than its MODIS counterpart in current radiance/reflectance products. The percentage root mean squared errors (%RMSEs) between the radiances of two sensors are 3.7, 4.2, and 2.3 for ASTER band 1, 2, and 3N, respectively, which are slightly greater or smaller than the required ASTER radiometric calibration accuracy (4%). The uncertainty of the cross-calibration is analyzed by elaborating the error budget table to evaluate the International System of Units (SI)-traceability of the results. The use of the derived RCCs will allow further reduction of errors in ASTER radiometric calibration and subsequently improve interoperability across sensors for synergistic applications.",27879830|28117745,32708337,27879830|25609048|27413606|32708337|33114888
32601509,Ultra-portable field transfer radiometer for vicarious calibration of earth imaging sensors.,"Thome, Kurtis K|Wenny, Brian B|Anderson, Nikolaus N|McCorkel, Joel J|Czapla-Myers, Jeffrey J|Biggar, Stuart S",Metrologia,2018 Jun,A small portable transfer radiometer has been developed as part of an effort to ensure the quality of upwelling radiance from test sites used for vicarious calibration in the solar reflective. The test sites are used to predict top-of-atmosphere reflectance relying on ground-based measurements of the atmosphere and surface. The portable transfer radiometer is designed for one-person operation for on-site field calibration of instrumentation used to determine ground-leaving radiance. The current work describes the detector- and source-based radiometric calibration of the transfer radiometer highlighting the expected accuracy and SI-traceability. The results indicate differences between the detector-based and source-based results greater than the combined uncertainties of the approaches. Results from recent field deployments of the transfer radiometer using a solar radiation based calibration agree with the source-based laboratory calibration within the combined uncertainties of the methods. The detector-based results show a significant difference to the solar-based calibration. The source-based calibration is used as the basis for a radiance-based calibration of the Landsat-8 Operational Land Imager that agrees with the OLI calibration to within the uncertainties of the methods.,23314640|18216962|17068565|18354559|18354566|26836861,,30085491|18349951|34475608|32365984|32020955
